date_found,company,title,location,work_mode,date_posted,source,link,active_resume,ats_match_pct,benefits_score,qol_score,pressure_score,culture_score,overall_score,hire_chance_pct,ai_detection_pct,status,date_applied,xp,notes
2026-07-19,Loenbro,IT Field Support Specialist,"Cedar Rapids, IA",onsite,unknown,career-page,https://job-boards.greenhouse.io/loenbro/jobs/4304408009,it_support,,,,,,,,,Coletada (parcial — revisar),,0,"date_posted unknown; full JD blocked by network policy — verify link manually"
2026-07-19,Microsoft,Data Center Technician,"Des Moines / West Des Moines, IA",onsite,unknown,career-page,https://careers.microsoft.com/us/en/job/797299/Data-Center-Technician,data_center,,,,,,,,,Coletada (parcial — revisar),,0,"date_posted unknown; 12h shifts incl nights; full JD blocked by network policy"
2026-07-19,UnityPoint Health,IT Technical Support Specialist,"Cedar Rapids, IA",onsite,unknown,career-page,https://careers.unitypoint.org/results,it_support,,,,,,,,,Coletada (parcial — revisar),,0,"direct posting URL not found (JS portal); salary cited 47k-71k; verify on careers.unitypoint.org"
2026-07-19,RemoteHunter,Entry-Level IT Support Associate (Remote),United States,remote (a confirmar),2026-07-18,linkedin (email alert),https://www.linkedin.com/jobs/view/4441715646/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link); agregador/talent platform — vaga original a confirmar
2026-07-19,Swooped,IT Support Specialist II,United States,remote (a confirmar),2026-07-18,linkedin (email alert),https://www.linkedin.com/jobs/view/4442126132/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link); agregador/talent platform — vaga original a confirmar
2026-07-19,Jobright.ai,IT Help Desk Technician,United States,remote (a confirmar),2026-07-18,linkedin (email alert),https://www.linkedin.com/jobs/view/4441364507/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link); agregador/talent platform — vaga original a confirmar
2026-07-19,Illumia,Technical Support Engineer- Quickcharge,United States,remote (a confirmar),2026-07-18,linkedin (email alert),https://www.linkedin.com/jobs/view/4432699581/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,"HRCap, Inc.",IT Help Desk Support Technician,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4438734630/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,NexusTek,Service Desk Engineer,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4441906422/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,LiveKit,IT Support Engineer,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4419637426/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,Humana,Helpdesk Support Technician 2,United States,remote (a confirmar),2026-07-14,linkedin (email alert),https://www.linkedin.com/jobs/view/4437648381/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,Swooped,IT Support Specialist II,United States,remote (a confirmar),2026-07-14,linkedin (email alert),https://www.linkedin.com/jobs/view/4440059152/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link); agregador/talent platform — vaga original a confirmar
2026-07-19,Careerscape,Information Technology Support Specialist,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4437212718/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,Netrolynx AI,IT Support Associate,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4440015953/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,Franklin Fitch,Support Analyst,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4439799812/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,RemoteHunter,Remote Technical Support Specialist,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4439159274/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link); agregador/talent platform — vaga original a confirmar
2026-07-19,Symbotic,Technical Support Administrator,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4439752924/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,AgileGrid Solutions,IT Support Analyst,United States,remote (a confirmar),2026-07-13,linkedin (email alert),https://www.linkedin.com/jobs/view/4439723940/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,James Search Group,Desktop Support Specialist,United States,remote (a confirmar),2026-07-12,linkedin (email alert),https://www.linkedin.com/jobs/view/4439571171/,it_support,,,,,,,,,Coletada (JD pendente),,0,from Gmail LinkedIn alert; JD pending (open link)
2026-07-19,Humana,Helpdesk Support Technician,United States,remote (a confirmar),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4434530290/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,Net at Work,IT Support Specialist,United States,remote (a confirmar),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4428109716/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,AgileGrid Solutions,IT Support Analyst,United States,remote (a confirmar),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4438640584/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,Converge Resources,Technical Support Engineer,United States,remote (a confirmar),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4438263237/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,RemoteHunter,IT Technician I (Remote),United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4441109059/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,RemoteHunter,IT Technician I (Remote),United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4438718378/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,Strategic Growth Partners,IT Technician,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4440834402/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,MeeBoss,Information Technology Support Specialist,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4440949019/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,Jobright.ai,IT Help Desk Technician,United States,remote (a confirmar),2026-07-17,linkedin (email alert),https://www.linkedin.com/jobs/view/4439930240/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,RemoteHunter,IT Technician I (Remote),United States,remote (a confirmar),2026-07-18,linkedin (email alert),https://www.linkedin.com/jobs/view/4441725486/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; US-wide (provavel remoto); JD pendente
2026-07-19,SimplePractice,IT Support Engineer,"Los Angeles, CA",a confirmar (cidade listada),2026-07-05,linkedin (email alert),https://www.linkedin.com/jobs/view/4418016064/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Los Angeles, CA; JD pendente"
2026-07-19,Botify,Technical Support Engineer,"New York, United States",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4433969311/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: New York, United States; JD pendente"
2026-07-19,Sony Interactive Entertainment,IT Support Specialist,"San Mateo, CA",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4426472052/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: San Mateo, CA; JD pendente"
2026-07-19,WSP in the U.S.,IT On-Site Support Technician,"Chicago, IL",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4427499930/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Chicago, IL; JD pendente"
2026-07-19,Gigs,Technical Support Engineer,"New York, United States",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4437763395/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: New York, United States; JD pendente"
2026-07-19,Vestiaire Collective,IT Support Technician,"Brooklyn, NY",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4436098621/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Brooklyn, NY; JD pendente"
2026-07-19,Haystack,IT Support Engineer,"New York, United States",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4433916869/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: New York, United States; JD pendente"
2026-07-19,Elevate Technology Group,Information Technology Help Desk Technician,"Manhattan, NY",a confirmar (cidade listada),2026-07-07,linkedin (email alert),https://www.linkedin.com/jobs/view/4434518913/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Manhattan, NY; JD pendente"
2026-07-19,Techary,1st Line Support Technician,"Dallas, TX",a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4428704412/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Dallas, TX; JD pendente"
2026-07-19,Georgia Institute of Technology,Information Technology Support Engineer,Atlanta Metropolitan Area,a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4438577473/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; cidade: Atlanta Metropolitan Area; JD pendente
2026-07-19,Willdan,Help Desk Technician I,"Oak Brook, IL",a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4427674068/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Oak Brook, IL; JD pendente"
2026-07-19,Gatik,IT Support Engineer,"Santa Clara, CA",a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4437307221/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Santa Clara, CA; JD pendente"
2026-07-19,Cyera,IT Support – US,New York City Metropolitan Area,a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4427027657/,it_support,,,,,,,,,Coletada (JD pendente),,0,fit alto; cidade: New York City Metropolitan Area; JD pendente
2026-07-19,Amazon,"IT Support Engineer I, Ops Tech Solutions (OTS)","Chester, VA",a confirmar (cidade listada),2026-07-10,linkedin (email alert),https://www.linkedin.com/jobs/view/4401525497/,it_support,,,,,,,,,Coletada (JD pendente),,0,"fit alto; cidade: Chester, VA; JD pendente"
